epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7636.16,0.89931,0.51265,1.16072,0.98902,0.98634,0.99251,0.82214,0.69048,0.33892,1.01133,0.000509438,0.000509438,0.000509438
67,7752.07,0.89245,0.50479,1.15396,0.99085,0.98923,0.99328,0.82783,0.67951,0.33362,1.00948,0.000495291,0.000495291,0.000495291
68,7867.46,0.87938,0.50022,1.15093,0.98952,0.98669,0.99273,0.82747,0.67819,0.33321,1.00223,0.000481144,0.000481144,0.000481144
69,7982.45,0.85333,0.49201,1.14004,0.99237,0.98771,0.99312,0.82874,0.67309,0.32737,1.01139,0.000466997,0.000466997,0.000466997
70,8098.37,0.87563,0.49108,1.14792,0.99307,0.98997,0.99373,0.83104,0.67282,0.32429,0.99917,0.00045285,0.00045285,0.00045285
71,8213.54,0.87272,0.49439,1.14426,0.98917,0.98785,0.99318,0.82185,0.67708,0.32923,1.00812,0.000438703,0.000438703,0.000438703
72,8328.39,0.85849,0.47808,1.13643,0.99208,0.98939,0.9935,0.83127,0.6629,0.3178,1.00164,0.000424556,0.000424556,0.000424556
73,8443.61,0.85008,0.47737,1.13515,0.99135,0.98921,0.99314,0.83431,0.65494,0.31657,0.99815,0.000410409,0.000410409,0.000410409
74,8558.83,0.85491,0.47373,1.14356,0.9925,0.989,0.99276,0.83729,0.64866,0.31545,0.99225,0.000396262,0.000396262,0.000396262
75,8673.72,0.84846,0.47311,1.13774,0.99143,0.99142,0.99354,0.83575,0.64696,0.31296,0.99167,0.000382115,0.000382115,0.000382115
76,8788.49,0.83341,0.46851,1.13479,0.99293,0.98989,0.99341,0.83461,0.64683,0.31087,0.99237,0.000367967,0.000367967,0.000367967
77,8902.8,0.82891,0.46221,1.12593,0.99247,0.98951,0.9933,0.84399,0.62876,0.30805,0.98326,0.00035382,0.00035382,0.00035382
78,9018.04,0.82123,0.4624,1.11482,0.99438,0.98885,0.99338,0.84387,0.63324,0.30871,0.9797,0.000339673,0.000339673,0.000339673
79,9132.3,0.82149,0.46251,1.12849,0.99286,0.9899,0.99374,0.84181,0.64082,0.30703,0.98089,0.000325526,0.000325526,0.000325526
80,9246.85,0.81118,0.45447,1.11494,0.99306,0.98951,0.99338,0.84594,0.62727,0.30225,0.97645,0.000311379,0.000311379,0.000311379
81,9361.26,0.80769,0.45054,1.11487,0.99361,0.99028,0.99389,0.84478,0.63196,0.30155,0.98022,0.000297232,0.000297232,0.000297232
82,9475.39,0.81497,0.46188,1.11295,0.99346,0.99028,0.99302,0.84658,0.6187,0.29863,0.97303,0.000283085,0.000283085,0.000283085
83,9590.04,0.80523,0.44478,1.11232,0.99351,0.99082,0.99425,0.84888,0.6212,0.29758,0.97724,0.000268938,0.000268938,0.000268938
84,9704.42,0.81092,0.446,1.11459,0.99381,0.9899,0.99427,0.85239,0.61221,0.29588,0.97264,0.000254791,0.000254791,0.000254791
85,9819.76,0.78887,0.43662,1.10383,0.99307,0.98957,0.99358,0.84967,0.62211,0.29445,0.97949,0.000240644,0.000240644,0.000240644
86,9934.64,0.79377,0.43963,1.11265,0.99184,0.99058,0.99403,0.85323,0.60753,0.29106,0.97364,0.000226497,0.000226497,0.000226497
